cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
256,1,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,1,11,4.4021,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0156,0.17,168.85
256,1,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,1,3,9.7108,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0082,1.52,1519.59
256,1,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False,asm,1,5,8.6543,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0097,1.36,1364.22
256,1,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,9.1855,auto,0.0,2.57,2570.02
256,1,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,1,3,11.2012,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.008,2.63,2634.29
256,2,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,1,11,4.4168,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0156,0.33,169.65
256,2,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,1,4,9.1765,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0109,3.21,1609.26
256,2,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False,asm,1,4,8.4399,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0102,2.8,1400.04
256,2,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,9.4381,auto,0.0,5.0,2502.71
256,2,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,1,3,11.402,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0075,5.17,2589.3
256,4,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,1,9,4.4035,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0098,0.67,172.9
256,4,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,5,5,9.9316,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0122,5.94,1489.1
256,4,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False,asm,3,4,8.1855,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0091,5.76,1445.96
256,4,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,9.7799,auto,0.0,9.65,2418.1
256,4,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,1,3,11.5586,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0074,10.21,2556.99
256,8,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,1,9,4.4643,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0127,1.32,175.93
256,8,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,3,4,9.7728,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0104,12.07,1517.75
256,8,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False,asm,5,3,8.6642,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0064,10.89,1370.62
256,8,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,10.2907,auto,0.0,18.34,2303.5
256,8,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,1,3,11.7116,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0077,20.14,2529.05
256,16,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,3,10,4.8658,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0146,2.42,171.31
256,16,2560,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,3,4,9.8954,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.01,23.84,1507.74
256,16,2880,2048,True,torch.bfloat16,torch.bfloat16,False,False,asm,1,3,8.7178,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0062,21.65,1371.24
256,16,2880,4096,True,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,10.4181,auto,0.0,36.23,2286.04
256,16,5120,2880,True,torch.bfloat16,torch.bfloat16,False,False,asm,1,3,12.0177,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0077,39.26,2475.28
